rank,post_title,site,job_link,company_name,job_profile,salary_range,job_location,founding_year,team_size,company_hq,post_date,role_description
83,Charge Robotics (YC S21) is hiring MechEs to build robots that build solar farms,ycombinator.com,https://www.ycombinator.com/companies/charge-robotics/jobs/ml4f9l4-senior-mechanical-engineer,Charge Robotics,Senior Mechanical Engineer,,"Oakland, CA",2021,20,"Oakland, CA",2024-12-11T17:00:41 1733936441,Charge Robotics is a Series A startup building robots that build solar farms.
84,Distro (YC S24) is seeking a Head of Engineering in the Bay Area,ycombinator.com,https://www.ycombinator.com/companies/distro/jobs/XGMjSPe-head-of-engineering,Distro,Tech Lead,$150K - $200K / 1.00% - 1.50%,"Palo Alto, CA, US",2022,7,Palo Alto,2024-12-10T21:02:29 1733864549,We are seeking an experienced Tech Lead to lead Distro’s growing tech team.
85,Laylo (YC S20) Is Hiring an Account Manager in EU/UK,ycombinator.com,https://www.ycombinator.com/companies/laylo/jobs/AzoXzbT-uk-eu-account-manager,Laylo,Account Executive - Europe,$55K - $120K / 0.01% - 0.03%,"GB / FR / DE / SE / New York, NY, US / Remote (GB; FR; DE; SE; New York, NY, US)",2017,12,"Los Angeles, CA",2024-12-09T12:01:16 1733745676,"Laylo powers drops for some of the world’s biggest creators and brands. Drops have become the predominant marketing strategy for merch, tickets and content and we're building the leading CRM to power them. The platform combines landing pages, messaging, link tracking, and more to empower musicians, artists, celebrities, creators and brands with the tools to drive more sales and streams around their most important moments."
86,GroMo (YC W21) Is Hiring,ycombinator.com,https://www.ycombinator.com/companies/gromo/jobs/pZHrmBK-senior-executive-finance,GroMo,"Senior Executive, Finance",₹300K - ₹900K INR,"Gurugram, HR, IN",2020,100,"Gurugram, India",2024-12-08T01:01:27 1733619687,"Location: Gurgaon, India
Experience: 3-5 years
Industry: Fintech/Startup

Job Summary:"
87,RankScience (YC W17) is hiring to supercharge SEO for startups,remotejobs.org,https://remotejobs.org/companies/rankscience-remote-jobs,,,,,,,,2024-12-06T12:00:38 1733486438,
88,Zep AI (YC W24) Is Hiring a Dev Advocate,ycombinator.com,https://www.ycombinator.com/companies/zep-ai/jobs/MTpb6pB-developer-advocate,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,2024-12-05T21:00:49 1733432449,job description page not found
89,Keye (YC F24) Is Hiring – Senior Software Engineer,Site not found,item?id=42330812,,,,,,,,2024-12-05T18:17:14 1733422634,
90,Humanloop (YC S20) Is Hiring Product Engineers in London and SF,humanloop.com,https://humanloop.com,,,,,,,,2024-12-05T12:01:01 1733400061,
91,Ashby (YC W19) Is Hiring Principal Platform Engineers,ashbyhq.com,https://www.ashbyhq.com/careers?utm_source=hn&ashby_jid=213c15c5-8e96-4fce-82da-dab268edc4c0,,,,,,,,2024-12-04T17:00:18 1733331618,
92,Reprompt (YC W24) Is Hiring an Engineer to Build Location Agents,Site not found,item?id=42316644,,,,,,,,2024-12-04T12:00:40 1733313640,
93,Openlayer (YC S21) is looking for top-tier design engineers,ycombinator.com,https://www.ycombinator.com/companies/openlayer/jobs/ZEEO8UB-design-engineer,Openlayer,"Senior Software Engineer, Product",$140K - $200K,"San Francisco, CA, US / New York, NY, US",2021,6,San Francisco,2024-12-03T21:00:04 1733259604,"Openlayer is solving the AI reliability problem. AI has the potential to transform industries, but too often, inconsistent results and a lack of robust testing hold back that progress. We offer something better—an environment where teams can confidently develop and deploy AI systems."
94,"Stack Auth (YC S24), open-source Auth0 alternative, is hiring Founding SWEs",Site not found,item?id=42308388,,,,,,,,2024-12-03T17:01:04 1733245264,
95,Wasmer (YC S19) Is Hiring a SRE and DevOps Engineer in Europe,workatastartup.com,https://www.workatastartup.com/jobs/60210,,,,,,,,2024-12-03T12:00:23 1733227223,
96,Kapa.ai (YC S23) is hiring AI research and full-stack roles (EU timezone),ycombinator.com,https://www.ycombinator.com/companies/kapa-ai/jobs,kapa.ai,"Senior Software Engineer, Product",kapa.ai,,2023,9,,2024-12-03T07:00:10 1733209210,"kapa.ai makes it easy for technical companies to build AI support and onboarding bots for their users. Teams at +150 leading startups and enterprises incl. OpenAI, Mixpanel, Mapbox, Docker, Next.js and Prisma use kapa to level up their developer experience and reduce support."
97,Infisical (YC W23) Is Hiring Full Stack Engineers in SF and Remotely,ycombinator.com,https://www.ycombinator.com/companies/infisical/jobs/2OGBQMt-full-stack-engineer-sf,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,2024-12-01T17:00:49 1733072449,job description page not found
98,AI Search Engineer at Activeloop (YC S18): Build Multi-Modal Enterprise Search,workatastartup.com,https://www.workatastartup.com/jobs/68254,,,,,,,,2024-12-01T12:01:01 1733054461,
99,SigNoz (YC W21) Is Hiring Open Source Community Engineer (Remote) (IN/EU),ycombinator.com,https://www.ycombinator.com/companies/signoz/jobs/Y8SWUCk-open-source-community-engineer-remote,SigNoz,Open Source Community Engineer (Remote),,IN / PL / UA / GB / DE / EE / Remote (IN; PL; UA; GB; DE; EE),2021,18,"Bengaluru, India",2024-12-01T07:01:24 1733036484,"SigNoz is a global open source project with users in 30+ countries. We are building an open-source observability platform which helps developers monitor their applications and troubleshoot problems, quickly."
100,Sei AI (YC W22) Is Hiring an AI/ML Engineer with LLM Exposure,ycombinator.com,https://www.ycombinator.com/companies/sei/jobs/TYbKqi0-ai-ml-llm-engineer,Sei,AI/ML/LLM Engineer,₹2M - ₹5M INR / 0.01% - 0.03%,"Gurugram, HR, IN",2023,,"Delhi, India",2024-12-01T01:00:02 1733014802,"We are Sei, an AI-powered regulatory compliance platform. Since launching, a few months ago, we're live with large enterprises across the US, Europe, and APAC and growing at double digits per month."
101,Sieve (YC W22) Is Hiring Engineers to Build the Future of Video AI,sievedata.com,https://www.sievedata.com/,,,,,,,,2024-11-29T17:00:58 1732899658,
102,Replit (YC W18) Is Hiring Software Engineers in the Bay Area,replit.com,https://replit.com/careers,,,,,,,,2024-11-25T17:00:59 1732554059,
103,Continue (YC S23) Is Hiring a Software Engineer in San Francisco,ycombinator.com,https://www.ycombinator.com/companies/continue/jobs/smcxRnM-software-engineer,Continue,Software Engineer,$150K - $200K / 0.50% - 1.50%,"San Francisco, CA, US",2023,5,San Francisco,2024-11-24T21:01:01 1732482061,"Continue is seeking an outstanding software engineer to help us build state-of-the-art autocomplete and codebase retrieval, who thinks rigorously and pays attention to the smallest details. In this role, you will work on fundamental, but highly open-ended problems where deliberate measurement, rapid experimentation, and empathy for users push forward the product."
104,Jiga (YC W21) Is Hiring Operations Coordinator,ycombinator.com,https://www.ycombinator.com/companies/jiga/jobs/Z53kcTZ-logistics-operations-coordinator,Jiga,Logistics Operations Coordinator ,,Remote,2020,15,San Francisco,2024-11-24T12:00:23 1732449623,About Jiga:
105,Alloy Automation (YC W20) Is Hiring,ycombinator.com,https://www.ycombinator.com/companies/alloy-automation/jobs/RGzvGvb-software-engineering-manager,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,2024-11-23T12:00:53 1732363253,job description page not found
106,Wasp (YC W21) is hiring a framework engineer to build Laravel for JavaScript,Site not found,item?id=42215453,,,,,,,,2024-11-22T17:00:36 1732294836,
107,Fern Is Hiring Software Engineers in Brooklyn,ycombinator.com,https://www.ycombinator.com/companies/fern/jobs/ayxViUi-backend-engineer,Fern,Backend Engineer,$170K - $210K,"New York, NY, US",2022,12,New York,2024-11-22T12:00:31 1732276831,"This role is ideal for ambitious engineers with entrepreneurial goals. Many of us are former or future founders, and this is an opportunity to scale a company from $1M to $10M ARR while partnering with fast-growing tech companies shaping the future of software. We value in-person collaboration and work out of our office in the Williamsburg neighborhood of Brooklyn."
108,Windmill hiring Senior Frontend (Svelte) Engineer in Paris,ycombinator.com,https://www.ycombinator.com/companies/windmill/jobs/voz8eYF-senior-svelte-frontend-engineer,Windmill,Senior Svelte Frontend Engineer,€50K - €80K EUR / 0.10% - 0.30%,"Paris, IDF, FR",2022,6,"Paris, France",2024-11-22T07:00:41 1732258841,"Looking for a senior, passionate and ""cracked"" frontend/full-stack engineer to work on the open-source developer platform Windmill: https://github.com/windmill-labs/windmill"
109,"Glass Health (YC W23) is hiring founding, senior and lead full-stack engineers",lever.co,https://jobs.lever.co/glass-health-inc?team=Product%20%26%20Engineering,,,,,,,,2024-11-21T21:44:29 1732225469,
110,Handle.com (YC W19) Is Hiring,ycombinator.com,https://www.ycombinator.com/companies/handle-com/jobs/dRJJ0vK-senior-implementation-consultant,Handle.com,Senior Implementation Consultant,$130K - $150K,US / Remote (US),2019,55,San Francisco,2024-11-21T12:01:01 1732190461,Who We Are
111,Vapi (YC W21) Is Hiring Founding Senior Engineer (Front End),ashbyhq.com,https://jobs.ashbyhq.com/vapi/4246b127-9f69-4a57-ac70-d16041f8403b,,,,,,,,2024-11-21T01:00:39 1732150839,
112,Distro (YC S24) Is Hiring a Head of Marketing (B2B),ycombinator.com,https://www.ycombinator.com/companies/distro/jobs/splSeS5-head-of-marketing-b2b,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,2024-11-20T21:01:14 1732136474,job description page not found
113,"Converge (YC S23) is hiring senior product engineers (NYC, in-person)",Site not found,item?id=42195908,,,,,,,,2024-11-20T17:00:36 1732122036,
114,Clearest Health (YC S23) is hiring a full-stack engineer in NY,Site not found,item?id=42193089,,,,,,,,2024-11-20T12:00:58 1732104058,
115,Yhangry (YC W22) Is Hiring 2 Mid-Level Full-Stack Engineers,ycombinator.com,https://www.ycombinator.com/companies/yhangry/jobs/YcOxw4i-mid-software-engineer,yhangry,Senior Full-Stack Engineer,£80K - £110K GBP / 0.02% - 0.20%,"London, England, GB",2020,12,"London, United Kingdom",2024-11-20T07:00:09 1732086009,"Yhangry is like Airbnb, but for finding a chef to cook for an event: Their birthday, a hen party or a family Christmas gathering."
116,GroMo (YC W21) Is Hiring,ycombinator.com,https://www.ycombinator.com/companies/gromo/jobs/C65u6ox-product-manager-insurance-insurance-background-must,GroMo,Product Manager- Insurance (Insurance background Must),₹1.5M - ₹2.6M INR / 0.10%,"Gurugram, India",2020,100,"Gurugram, India",2024-11-20T01:00:22 1732064422,"As part of our Product team, build innovative solutions to help increase the penetration of Insurance and increase financial literacy with the help of financial advisors. The pace of our growth is incredible. If you want to tackle hard, interesting, and UNIQUE problems, and create an impact within an entrepreneurial environment, we are a perfect match."
117,TigerEye (YC S22) Is Hiring a Full Stack Engineer,ashbyhq.com,https://jobs.ashbyhq.com/TigerEye/05e5cea7-5351-49e6-8e96-adda8281ec0b,,,,,,,,2024-11-19T21:00:55 1732050055,
118,Justpaid.ai (YC W23) Is Hiring Software Engineers in Silicon Valley,justpaid.ai,https://www.justpaid.ai/careers#roles,,,,,,,,2024-11-19T17:00:09 1732035609,
119,Expand.ai (YC S24) Is Hiring a Founding Engineer to Turn the Web into an API,Site not found,item?id=42182503,,,,,,,,2024-11-19T12:01:01 1732017661,
120,Trieve (YC W24) Is Hiring a software engineer to build OpenAPI tooling,ycombinator.com,https://www.ycombinator.com/companies/trieve/jobs/arKjyiM-software-engineer-openapi-tooling,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,2024-11-18T21:00:36 1731963636,job description page not found
121,PermitFlow (YC W22) is hiring senior/staff engineers in NYC,ashbyhq.com,https://jobs.ashbyhq.com/permitflow?departmentId=d33195eb-8978-4439-abc6-5a8a072de808,,,,,,,,2024-11-16T12:01:02 1731758462,
122,Modern Treasury (YC S18) Is Hiring a Product Designer,ashbyhq.com,https://jobs.ashbyhq.com/moderntreasury/269a944a-64e6-4dd1-b539-c9d5828ef0fe?utm_source=yYPEbOqnBd,,,,,,,,2024-11-15T12:00:33 1731672033,
123,InspectMind AI (YC W24) Is Hiring for AI in Construction,ycombinator.com,https://www.ycombinator.com/companies/inspectmind-ai/jobs/rPuRKf1-software-engineer,InspectMind AI,Software Engineer,$100K - $200K / 0.10% - 1.00%,"San Francisco, CA, US",2023,10,San Francisco,2024-11-14T21:00:51 1731618051,"InspectMind AI is automating building inspections by harnessing the power of the latest in Multimodal AI. We are automating critical workflow of inspections in large physical industries like real estate and construction by unlocking the potential of LLM to tackle real-world challenges, improving productivity by 100x, and creating products that have never been possible before."
124,MindsDB (YC W20) Is Hiring an Operations Analyst,grnh.se,https://grnh.se/e9445a887us,,,,,,,,2024-11-14T17:01:07 1731603667,
125,Reflex (YC W23) Is Hiring Software Engineers (San Francisco),ycombinator.com,https://www.ycombinator.com/companies/reflex/jobs/wz4GHux-software-engineer,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,2024-11-13T21:18:13 1731532693,job description page not found
126,Patterns (YC S21) Is Hiring to Transform Business Finance and Credit,patterns-ai.notion.site,https://patterns-ai.notion.site/Patterns-S21-is-Hiring-to-Transform-Business-Finance-and-Credit-13d50d51405d803d8f04c4272725f166,,,,,,,,2024-11-13T17:00:36 1731517236,
127,Hadrius (YC W23) is hiring engineers looking to grow into future founders,ycombinator.com,https://www.ycombinator.com/companies/hadrius/jobs/7pxGZTl-founding-engineer,Hadrius,Founding Engineer,$155K - $240K / 0.10% - 0.15%,"New York, NY, US",2023,11,New York,2024-11-13T12:00:46 1731499246,"This is a full-time role as a Founding Engineer, located onsite in New York, NY."
128,Nowadays (YC S23) Is Hiring,Site not found,item?id=42119674,,,,,,,,2024-11-12T21:00:40 1731445240,
129,Instant (YC S22) Is Hiring a Founding Engineer to Help Build a Modern Firebase,Site not found,item?id=42117277,,,,,,,,2024-11-12T17:01:44 1731430904,
130,TaxGPT (YC S24) Is Hiring Staff Software Engineer,ycombinator.com,https://www.ycombinator.com/companies/taxgpt/jobs/VqOr5LP-staff-software-engineer-gen-ai-focused,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,2024-11-12T12:00:13 1731412813,job description page not found
131,Gym Class VR (YC W22) Is Hiring Mobile Gameplay Lead,ycombinator.com,https://www.ycombinator.com/companies/gym-class-by-irl-studios/jobs/BigNKT1-mobile-game-engineer-staff-principal,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,2024-11-11T21:01:10 1731358870,job description page not found
132,Nango (YC W23) is hiring remotely for open-source product integrations,nango.dev,https://nango.dev/jobs,,,,,,,,2024-11-11T17:00:21 1731344421,
133,Haven (YC W23) Is Hiring,ycombinator.com,https://www.ycombinator.com/companies/haven-2/jobs/MUGkU8h-founding-engineer,Haven,Founding Engineer,$130K - $180K / 0.50% - 2.00%,"New York, NY, US",2022,3,,2024-11-11T12:00:13 1731326413,"The property management industry is ripe for disruption, and the perfect vertical for natural language automation."
134,Trellis (YC W24) is hiring eng to turn documents into database,ycombinator.com,https://www.ycombinator.com/companies/trellis/jobs/1ypWafM-founding-engineer-full-time-backend-ml-infra,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,2024-11-09T17:01:12 1731171672,job description page not found
135,Zep AI (YC W24) Is Hiring DevRel / Community Managers to Build Agent Memory,getzep.com,https://www.getzep.com/careers,,,,,,,,2024-11-08T21:00:16 1731099616,
136,Aviator (YC S21) Is hiring engineers to build a DevEx platform,ycombinator.com,https://www.ycombinator.com/companies/aviator/jobs/2fmcI6d-software-engineer-fullstack,Aviator,"Software engineer, Fullstack",$120K - $160K,"San Francisco, CA, US",2021,6,San Francisco,2024-11-08T17:00:41 1731085241,"One of the largest trends that has happened in the last few decades is how people work. Although in software world remote work has been done for several years, never has the tooling been built from ground up for software engineers. We are building the engineering productivity supertools for the new world."
137,Optery (YC W22) Is Hiring Product Managers and Full Stack Developer (Node.js),workatastartup.com,https://www.workatastartup.com/companies/optery,,,,,,,,2024-11-07T12:00:21 1730980821,
138,Tamarind Bio (YC W24) is hiring a founding engineer to scale bioML infra (SF),ycombinator.com,https://www.ycombinator.com/companies/tamarind-bio/jobs/OEkMxsJ-founding-software-engineer,Tamarind Bio,Founding Software Engineer,$125K - $180K / 1.00% - 2.00%,"San Francisco, CA, US",2023,2,,2024-11-04T17:00:32 1730739632,"We’re looking for an exceptional founding engineer to help us scale our computational biology tooling. You’ll be responsible for maintaining and expanding the core infrastructure that powers our drug discovery software. You will work directly with the founders to design, build, and scale our web interface and API products."
139,PropelAuth (YC W22) is hiring Fullstack and Rust engineers,ycombinator.com,https://www.ycombinator.com/companies/propelauth/jobs,PropelAuth,Founding Software Engineer,PropelAuth,,2021,6,CA,2024-11-04T12:02:01 1730721721,"PropelAuth provides the right level of authentication for all stages of a company. New startups can use our hosted pre-built UIs which provide the simplest possible integration. Out of the box, our customers immediately have the same auth experience as large tech companies like Slack."
140,GoGoGrandparent (YC S16) Is Hiring Back End and Full-Stack Engineers,Site not found,item?id=42034242,,,,,,,,2024-11-03T17:02:51 1730653371,
141,Tabular (YC S24) Is Hiring,ycombinator.com,https://www.ycombinator.com/companies/tabular/jobs/nGeV93o-data-scientist-ai,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,2024-11-02T07:00:44 1730530844,job description page not found
142,Pythagora (GPT Pilot) (YC W24) Is Hiring,ycombinator.com,https://www.ycombinator.com/companies/pythagora-gpt-pilot/jobs/CNr5q8B-ux-designer-wanted-to-design-a-new-user-experience-for-developers-in-the-ai-world,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,2024-11-01T07:01:09 1730444469,job description page not found
143,Activeloop (YC S18) seeks Python back end engineers to build a database for AI,ycombinator.com,https://www.ycombinator.com/companies/activeloop/jobs/kCU6ZNq-python-backend-engineer,Activeloop,Python Backend Engineer,$120K - $200K,Remote (US),2018,15,Mountain View,2024-10-31T17:01:30 1730394090,"At Activeloop we are transforming the way organizations harness their data for AI with our Deep Lake and Multi-modal AI Search. Whether you're answering critical clinical questions or searching across vast repositories of scientific papers, we empower you to index, search and organize billions of documents, images, and videos intuitively using natural language powered by Large Language Models. Join us in making data more accessible and actionable than ever before."
144,Clipboard Health (YC W17) is hiring engineers to scale healthcare (remote),clipboardhealth.com,https://www.clipboardhealth.com/engineering,,,,,,,,2024-10-31T07:01:11 1730358071,
145,Infisical (YC W23) is hiring full stack engineers (remote or in SF),ycombinator.com,https://www.ycombinator.com/companies/infisical/jobs/vh2CVJc-full-stack-engineer-remote,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,2024-10-30T17:00:02 1730307602,job description page not found
146,Tiptap (YC S23) Is Hiring a Senior Full Stack Engineer (Berlin or EU Remote),ycombinator.com,https://www.ycombinator.com/companies/tiptap/jobs/ZJhpyYA-senior-full-stack-engineer,Tiptap,Senior Full Stack Engineer,€70K - €90K EUR / 0.30% - 0.60%,"Berlin, BE, DE / Remote (AT; BE; BG; HR; CY; CZ; DK; EE; FI; FR; DE; GR; HU; IT; LV; LT; LU; MT; NL; PL; PT; RO; SI; SK; ES; SE; NO; GB; CH)",2022,15,"Berlin, Germany",2024-10-30T07:00:25 1730271625,"Millions of people around the world are using them right now in their web browsers: Text editors. While the vast majority of users have no idea about the underlying technology, and even most web-savvy people think of a text editor as a simple piece of HTML, most of the content on the web comes through them, and while it always seems like an easy problem to solve for web developers at first, it's extremely difficult and finicky to do well, especially when you need to build more sophisticated editor UIs like Google Docs or Notion do."
147,InspectMind AI (YC W24) Is Hiring,ycombinator.com,https://www.ycombinator.com/companies/inspectmind-ai/jobs/U0mh0Bf-software-engineer,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,2024-10-29T17:00:42 1730221242,job description page not found
148,Reworkd (YC S23) Is Hiring a Customer Success Engineer (In Person SF),ycombinator.com,https://www.ycombinator.com/companies/reworkd/jobs/KAy2JN4-customer-success-engineer,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,2024-10-29T12:00:56 1730203256,job description page not found
149,"Glass Health (YC W23) is hiring founding, senior and lead full-stack engineers",lever.co,https://jobs.lever.co/glass-health-inc?team=Product%20%26%20Engineering,,,,,,,,2024-10-28T21:43:25 1730151805,
150,Hyperbound (YC S23) is hiring a 4th founding full-stack engineer,ycombinator.com,https://www.ycombinator.com/companies/hyperbound/jobs/8itS1HR-founding-full-stack-engineer-4th-engineer,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,2024-10-27T17:00:09 1730048409,job description page not found
